model_variant,best_model,deep_loss,use_onecycle,run_classical_models,n_runs,val_mean,val_std,test_mean,test_std,test_acc_mean,gain_abs_vs_best,gain_rel_vs_best
msresnet,eeg_msresnet,focal,True,False,1,0.8893284106891702,,0.9285359375677343,,0.929324894514768,0.0,0.0
msresnet,eeg_msresnet,focal,False,False,1,0.8811533052039381,,0.924266829818755,,0.9251054852320675,-0.004269107748979373,-0.00459767638090793
msresnet,eeg_msresnet,ce,False,False,1,0.8272679324894515,,0.8582203153115561,,0.8580344585091421,-0.07031562225617827,-0.07572741065937356
msresnet,eeg_msresnet,ce,True,False,1,0.8198839662447257,,0.8540958109156002,,0.8536392405063291,-0.07444012665213418,-0.08016935440014022
resmlp,eeg_resmlp,ce,True,False,1,0.36322081575246135,,0.28816490421235164,,0.31091772151898733,-0.6403710333553827,-0.6896567030381301
resmlp,eeg_resmlp,focal,True,False,1,0.3720991561181435,,0.2870593446646615,,0.32023558368495075,-0.6414765929030728,-0.6908473511358075
resmlp,eeg_resmlp,focal,False,False,1,0.3408931082981716,,0.27699644364756243,,0.29193037974683544,-0.651539493920172,-0.7016847356784657
resmlp,eeg_resmlp,ce,False,False,1,0.34871659634317864,,0.2595628493130187,,0.2836673699015471,-0.6689730882547156,-0.7204600933455154
