model_variant,factor,from,to,val_delta,test_delta,from_test_mean,to_test_mean,n_runs_from,n_runs_to
msresnet,deep_loss,ce,focal,0.061664908579465494,0.07024332057966653,0.8561580631135781,0.9264013836932447,2,2
resmlp,use_onecycle,False,True,0.022855133614627265,0.01933247795821602,0.26827964648029057,0.2876121244385066,2,2
resmlp,deep_loss,ce,focal,0.0005274261603375741,0.008164017393426759,0.2738638767626852,0.28202789415611196,2,2
msresnet,use_onecycle,False,True,0.0003955696202532222,7.230167651173236e-05,0.8912435725651555,0.8913158742416672,2,2
